GO Term,Number of Entries
GO:0072728,0
GO:0034014,0
GO:0071227,0
GO:0071400,42
GO:0071000,1
GO:0097068,6
GO:0031990,0
GO:0090547,0
GO:1901655,0
GO:0042783,0
GO:0009411,161
GO:1990786,26
GO:0071328,0
GO:0042060,533
GO:0032570,37
GO:0070887,55
GO:0009720,0
GO:0032260,0
GO:0009588,0
GO:0046683,15
GO:0014884,0
GO:0071333,339
GO:0035006,0
GO:0052084,0
GO:0003021,0
GO:0071418,38
GO:0141201,0
GO:0071498,81
GO:0009752,0
GO:1990820,0
GO:0036314,0
GO:0097335,0
GO:1903416,10
GO:1902787,0
GO:0071294,67
GO:0002465,0
GO:1904681,5
GO:1901557,8
GO:1904639,8
GO:0009416,219
GO:0035966,0
GO:0036294,14
GO:0098513,0
GO:0071473,0
GO:0099141,0
GO:0140502,0
GO:0097334,0
GO:0002526,32
GO:1904881,16
GO:0106400,0
GO:1903492,0
GO:0033590,2
GO:1902610,0
GO:0014890,0
GO:0071362,0
GO:0061862,0
GO:0052201,0
GO:0071287,32
GO:0090720,0
GO:1902783,0
GO:1903493,0
GO:1901986,0
GO:0090519,0
GO:0098515,0
